Pokemon,AllMountTypes,RidingStyles,Seats,MountType,RidingStyle,SPEED_Min,SPEED_Max,ACCELERATION_Min,ACCELERATION_Max,SKILL_Min,SKILL_Max,JUMP_Min,JUMP_Max,STAMINA_Min,STAMINA_Max,Source,Path
honchkrow,"AIR, LAND","bird, horse",1,AIR,bird,20,35,20,40,30,50,50,70,55,75,Cobblemon-Fabric,data/cobblemon/species/generation4/honchkrow.json
houndoom,LAND,horse,1,LAND,horse,40,65,55,80,30,60,25,45,25,55,JourneyMounts,data/cobblemon/species_additions/generation2/houndoom.json
hydrapple,LAND,horse,1,LAND,horse,20,35,20,40,45,65,15,35,50,65,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/hydrapple.json
hydreigon,"AIR, LAND","bird, horse",2,AIR,bird,80,95,50,75,75,95,5,10,75,100,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/hydreigon.json
hydreigon,"AIR, LAND","bird, horse",2,LAND,horse,15,35,10,40,80,100,10,40,10,40,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/hydreigon.json
incineroar,LAND,horse,1,LAND,horse,35,60,40,70,45,70,25,40,45,80,JourneyMounts,data/cobblemon/species_additions/generation7/incineroar.json
infernape,LAND,horse,1,LAND,horse,30,55,30,55,35,65,25,45,30,60,JourneyMounts,data/cobblemon/species_additions/generation4/infernape.json
inteleon,"LAND, LIQUID","horse, dolphin",1,LAND,horse,55,80,45,70,45,75,25,45,25,45,JourneyMounts,data/cobblemon/species_additions/generation8/inteleon.json
inteleon,"LAND, LIQUID","horse, dolphin",1,LIQUID,dolphin,45,70,40,65,45,75,35,55,30,55,JourneyMounts,data/cobblemon/species_additions/generation8/inteleon.json
ironcrown,LAND,horse,1,LAND,horse,45,65,50,70,60,80,25,45,80,100,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/ironcrown.json
ironleaves,LAND,horse,1,LAND,horse,55,85,55,80,45,70,25,45,35,60,JourneyMounts,data/cobblemon/species_additions/generation9/ironleaves.json
jellicent,LIQUID,dolphin,1,LIQUID,dolphin,25,50,25,50,35,65,20,35,45,80,JourneyMounts,data/cobblemon/species_additions/generation5/jellicent.json
jolteon,LAND,horse,1,LAND,horse,40,70,45,75,35,60,25,45,20,40,JourneyMounts,data/cobblemon/species_additions/generation1/jolteon.json
kangaskhan,LAND,horse,1,LAND,horse,45,65,50,75,30,50,25,45,55,80,JourneyMounts,data/cobblemon/species_additions/generation1/kangaskhan.json
keldeo,LAND,horse,1,LAND,horse,40,50,30,60,20,50,30,65,100,145,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/keldeo.json
kilowattrel,"AIR, LAND","bird, horse",1,AIR,bird,110,130,95,115,70,95,50,70,40,65,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/kilowattrel.json
kilowattrel,"AIR, LAND","bird, horse",1,LAND,horse,10,40,10,40,80,100,10,40,10,40,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/kilowattrel.json
kingdra,LIQUID,dolphin,1,LIQUID,dolphin,40,70,45,70,45,75,20,40,35,70,JourneyMounts,data/cobblemon/species_additions/generation2/kingdra.json
kingler,"LAND, LIQUID","horse, submarine",1,LIQUID,submarine,30,55,35,60,45,70,15,35,40,75,JourneyMounts,data/cobblemon/species_additions/generation1/kingler.json
kingler,"LAND, LIQUID","horse, submarine",1,LAND,horse,20,40,25,50,20,40,10,25,30,55,JourneyMounts,data/cobblemon/species_additions/generation1/kingler.json
klawf,LAND,horse,1,LAND,horse,20,40,20,35,35,55,10,25,45,75,JourneyMounts,data/cobblemon/species_additions/generation9/klawf.json
klinklang,AIR,hover,1,AIR,hover,30,40,40,60,40,60,15,25,5,10,Cobblemon-Fabric,data/cobblemon/species/generation5/klinklang.json
kommoo,LAND,horse,1,LAND,horse,35,55,40,60,45,70,20,35,50,80,JourneyMounts,data/cobblemon/species_additions/generation7/kommoo.json
koraidon,"AIR, LAND, LIQUID","bird, horse, boat",1,AIR,bird,100,130,90,120,80,90,60,90,30,65,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/koraidon.json
koraidon,"AIR, LAND, LIQUID","bird, horse, boat",1,LAND,horse,120,150,100,130,80,90,85,110,30,60,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/koraidon.json
koraidon,"AIR, LAND, LIQUID","bird, horse, boat",1,LIQUID,boat,50,80,40,70,50,75,40,60,30,60,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/koraidon.json
krookodile,LAND,horse,1,LAND,horse,30,55,25,50,40,70,20,40,45,80,JourneyMounts,data/cobblemon/species_additions/generation5/krookodile.json
kyogre,LIQUID,dolphin,1,LIQUID,dolphin,120,150,90,120,85,95,60,90,80,135,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/kyogre.json
kyurem,LAND,horse,1,LAND,horse,40,65,30,60,20,50,30,65,30,65,COBBLEVERSE-DP-v28,data/cobblemon/species/generation5/kyurem.json
lanturn,LIQUID,dolphin,1,LIQUID,dolphin,30,55,35,60,45,75,25,45,40,80,JourneyMounts,data/cobblemon/species_additions/generation2/lanturn.json
lapras,"LAND, LIQUID","horse, boat",1,LIQUID,boat,80,105,60,85,60,85,20,30,45,75,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/lapras.json
lapras,"LAND, LIQUID","horse, boat",1,LAND,horse,10,25,10,35,20,40,0,5,10,40,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/lapras.json
latias,"AIR, LAND, LIQUID","jet, horse, dolphin",1,AIR,jet,170,205,75,95,95,115,85,100,85,100,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/latias.json
latias,"AIR, LAND, LIQUID","jet, horse, dolphin",1,LIQUID,dolphin,75,95,65,85,80,100,40,60,60,90,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/latias.json
latias,"AIR, LAND, LIQUID","jet, horse, dolphin",1,LAND,horse,30,70,20,40,80,90,10,40,10,40,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/latias.json
latios,"AIR, LAND, LIQUID","jet, horse, dolphin",1,AIR,jet,170,205,110,140,80,90,85,100,85,100,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/latios.json
latios,"AIR, LAND, LIQUID","jet, horse, dolphin",1,LIQUID,dolphin,75,95,65,85,80,100,40,60,60,90,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/latios.json
latios,"AIR, LAND, LIQUID","jet, horse, dolphin",1,LAND,horse,30,70,10,40,80,90,10,40,10,40,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/latios.json
leafeon,LAND,horse,1,LAND,horse,20,45,20,45,35,60,20,35,25,50,JourneyMounts,data/cobblemon/species_additions/generation4/leafeon.json
lickilicky,LAND,horse,2,LAND,horse,10,25,0,15,0,5,40,60,20,40,Cobblemon-Fabric,data/cobblemon/species/generation4/lickilicky.json
lickitung,LAND,horse,1,LAND,horse,10,25,5,20,5,20,10,25,25,45,JourneyMounts,data/cobblemon/species_additions/generation1/lickitung.json
liepard,LAND,horse,1,LAND,horse,30,55,30,55,35,60,20,35,30,55,JourneyMounts,data/cobblemon/species_additions/generation5/liepard.json
lopunny,LAND,horse,1,LAND,horse,20,40,20,40,45,70,20,40,25,55,JourneyMounts,data/cobblemon/species_additions/generation4/lopunny.json
ludicolo,"LAND, LIQUID","horse, dolphin",1,LIQUID,dolphin,30,55,30,55,40,70,20,35,35,65,JourneyMounts,data/cobblemon/species_additions/generation3/ludicolo.json
ludicolo,"LAND, LIQUID","horse, dolphin",1,LAND,horse,20,40,20,40,25,45,15,30,30,55,JourneyMounts,data/cobblemon/species_additions/generation3/ludicolo.json
lugia,"AIR, LAND, LIQUID","bird, horse, dolphin",1,AIR,bird,110,130,40,70,70,90,25,50,130,150,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/lugia.json
lugia,"AIR, LAND, LIQUID","bird, horse, dolphin",1,LIQUID,dolphin,90,110,70,90,60,80,30,65,80,135,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/lugia.json
lugia,"AIR, LAND, LIQUID","bird, horse, dolphin",1,LAND,horse,10,20,90,100,15,30,10,20,15,30,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/lugia.json
lumineon,LIQUID,dolphin,1,LIQUID,dolphin,30,55,25,50,40,70,25,45,35,65,JourneyMounts,data/cobblemon/species_additions/generation4/lumineon.json
lunala,"AIR, LAND","bird, horse",1,AIR,bird,110,125,90,110,65,95,45,75,20,50,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/lunala.json
lunala,"AIR, LAND","bird, horse",1,LAND,horse,30,50,20,40,15,45,25,35,20,45,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/lunala.json
luxray,LAND,horse,1,LAND,horse,25,50,25,50,40,70,20,40,35,65,JourneyMounts,data/cobblemon/species_additions/generation4/luxray.json
mabosstiff,LAND,horse,1,LAND,horse,35,60,35,55,30,50,20,35,40,70,JourneyMounts,data/cobblemon/species_additions/generation9/mabosstiff.json
machamp,LAND,horse,1,LAND,horse,45,65,50,70,70,90,55,75,80,100,JourneyMounts,data/cobblemon/species_additions/generation1/machamp.json
magcargo,LAND,horse,1,LAND,horse,1,10,0,15,25,45,0,5,70,100,JourneyMounts,data/cobblemon/species_additions/generation2/magcargo.json
magmortar,LAND,horse,1,LAND,horse,15,40,20,45,30,55,15,30,35,65,JourneyMounts,data/cobblemon/species_additions/generation4/magmortar.json
magnezone,AIR,hover,1,AIR,hover,65,85,70,95,50,70,45,65,5,15,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/magnezone.json
mamoswine,LAND,horse,3,LAND,horse,55,75,50,70,30,50,10,25,60,90,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/mamoswine.json
manectric,LAND,horse,1,LAND,horse,35,65,35,65,30,55,20,40,25,45,JourneyMounts,data/cobblemon/species_additions/generation3/manectric.json
mantine,"AIR, LAND, LIQUID","bird, horse, dolphin",1,AIR,bird,20,40,75,100,30,50,25,45,0,0,Cobblemon-Fabric,data/cobblemon/species/generation2/mantine.json
mantine,"AIR, LAND, LIQUID","bird, horse, dolphin",1,LIQUID,dolphin,20,40,30,55,45,75,40,80,20,40,Cobblemon-Fabric,data/cobblemon/species/generation2/mantine.json
mantine,"AIR, LAND, LIQUID","bird, horse, dolphin",1,LAND,horse,10,40,10,40,80,100,10,40,10,40,Cobblemon-Fabric,data/cobblemon/species/generation2/mantine.json
meganium,LAND,horse,1,LAND,horse,25,45,35,60,20,45,30,55,50,80,JourneyMounts,data/cobblemon/species_additions/generation2/meganium.json
meowscarada,LAND,horse,1,LAND,horse,55,80,55,80,55,85,35,60,35,60,JourneyMounts,data/cobblemon/species_additions/generation9/meowscarada.json
metagross,"AIR, LAND","hover, horse",4,AIR,hover,85,115,70,90,50,70,25,45,10,25,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/metagross.json
metagross,"AIR, LAND","hover, horse",4,LAND,horse,50,70,60,80,40,60,30,45,55,70,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/metagross.json
mightyena,LAND,horse,1,LAND,horse,30,55,25,50,30,55,20,40,25,45,JourneyMounts,data/cobblemon/species_additions/generation3/mightyena.json
milotic,LIQUID,dolphin,1,LIQUID,dolphin,40,70,35,65,55,80,25,45,45,85,JourneyMounts,data/cobblemon/species_additions/generation3/milotic.json
miltank,LAND,horse,1,LAND,horse,35,60,30,55,25,45,20,35,50,80,JourneyMounts,data/cobblemon/species_additions/generation2/miltank.json
miraidon,"AIR, LAND, LIQUID","bird, horse, boat",1,AIR,bird,100,130,90,120,80,90,40,70,30,65,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/miraidon.json
miraidon,"AIR, LAND, LIQUID","bird, horse, boat",1,LAND,horse,120,150,100,130,70,95,40,60,30,60,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/miraidon.json
miraidon,"AIR, LAND, LIQUID","bird, horse, boat",1,LIQUID,boat,50,80,40,70,50,75,35,45,30,60,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/miraidon.json
misdreavus,AIR,hover,1,AIR,hover,20,35,30,50,50,75,10,20,15,30,JourneyMounts,data/cobblemon/species_additions/generation2/misdreavus.json
moltres,"AIR, LAND","bird, horse",1,AIR,bird,130,160,65,90,70,100,50,80,80,100,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/moltres.json
moltres,"AIR, LAND","bird, horse",1,LAND,horse,10,20,70,90,30,60,25,50,40,80,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/moltres.json
mr. mime,LAND,horse,1,LAND,horse,25,45,20,40,15,45,15,35,35,60,Cobblemon-Fabric,data/cobblemon/species/generation1/mrmime.json
mrmime,LAND,horse,1,LAND,horse,65,85,50,75,20,65,40,60,35,60,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/mrmime.json
mudsdale,LAND,horse,1,LAND,horse,45,60,55,75,45,65,30,45,70,100,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/mudsdale.json
muk,LAND,horse,1,LAND,horse,25,45,20,40,20,40,10,25,70,95,JourneyMounts,data/cobblemon/species_additions/generation1/muk.json
naganadel,"AIR, LAND","bird, horse",1,AIR,bird,60,90,55,85,60,90,45,75,35,65,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/naganadel.json
naganadel,"AIR, LAND","bird, horse",1,LAND,horse,50,70,55,85,20,40,15,35,35,65,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/naganadel.json
nidoking,LAND,horse,1,LAND,horse,40,55,65,75,40,70,30,50,30,45,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/nidoking.json
nidoqueen,LAND,horse,1,LAND,horse,40,55,65,75,40,70,30,50,30,45,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/nidoqueen.json
ninetales,LAND,horse,1,LAND,horse,45,70,65,85,40,75,40,60,30,60,JourneyMounts,data/cobblemon/species_additions/generation1/ninetales.json
noctowl,"AIR, LAND","bird, horse",1,AIR,bird,25,55,30,55,45,75,30,55,30,60,JourneyMounts,data/cobblemon/species_additions/generation2/noctowl.json
noctowl,"AIR, LAND","bird, horse",1,LAND,horse,20,35,35,55,15,30,10,25,20,35,JourneyMounts,data/cobblemon/species_additions/generation2/noctowl.json
noivern,"AIR, LAND","bird, horse",1,AIR,bird,105,125,75,95,70,95,55,85,30,45,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/noivern.json
noivern,"AIR, LAND","bird, horse",1,LAND,horse,35,50,65,85,30,50,30,45,10,20,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/noivern.json
obstagoon,LAND,horse,1,LAND,horse,30,55,40,65,40,70,20,40,40,75,JourneyMounts,data/cobblemon/species_additions/generation8/obstagoon.json
oinkologne,LAND,horse,1,LAND,horse,25,45,20,40,20,40,15,30,40,70,JourneyMounts,data/cobblemon/species_additions/generation9/oinkologne.json
onix,LAND,horse,1,LAND,horse,15,25,45,70,0,30,0,5,35,55,JourneyMounts,data/cobblemon/species_additions/generation1/onix.json
orthworm,LAND,horse,1,LAND,horse,30,40,15,25,0,15,0,5,25,75,Cobblemon-Fabric,data/cobblemon/species/generation9/orthworm.json
palafin,LIQUID,dolphin,1,LIQUID,dolphin,45,75,45,70,50,80,35,60,40,70,JourneyMounts,data/cobblemon/species_additions/generation9/palafin.json
palkia,"AIR, LAND","bird, horse",1,AIR,bird,115,140,45,75,55,85,30,65,45,77,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/palkia.json
palkia,"AIR, LAND","bird, horse",1,LAND,horse,50,75,55,65,20,55,20,80,55,99,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/palkia.json
parasect,LAND,horse,1,LAND,horse,15,30,50,70,45,65,0,15,15,30,Cobblemon-Fabric,data/cobblemon/species/generation1/parasect.json
pelipper,"AIR, LAND","bird, horse",1,AIR,bird,35,65,40,70,45,75,30,55,25,50,JourneyMounts,data/cobblemon/species_additions/generation3/pelipper.json
pelipper,"AIR, LAND","bird, horse",1,LAND,horse,15,30,15,35,25,40,15,30,20,40,JourneyMounts,data/cobblemon/species_additions/generation3/pelipper.json
persian,LAND,horse,1,LAND,horse,60,80,60,80,70,90,35,55,40,60,JourneyMounts,data/cobblemon/species_additions/generation1/persian.json
pidgeot,"AIR, LAND","bird, horse",1,AIR,bird,70,95,55,75,55,85,30,65,30,65,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/pidgeot.json
pidgeot,"AIR, LAND","bird, horse",1,LAND,horse,25,40,45,55,10,25,15,25,20,30,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/pidgeot.json
piloswine,LAND,horse,1,LAND,horse,10,25,30,50,30,45,5,10,35,70,Cobblemon-Fabric,data/cobblemon/species/generation2/piloswine.json
pinsir,"AIR, LAND","hover, horse",1,AIR,hover,35,65,35,65,50,80,30,55,30,60,JourneyMounts,data/cobblemon/species/generation1/pinsir.json
pinsir,"AIR, LAND","hover, horse",1,LAND,horse,35,60,40,65,45,70,25,50,30,55,JourneyMounts,data/cobblemon/species/generation1/pinsir.json
poliwrath,LAND,horse,1,LAND,horse,30,50,35,55,50,70,35,55,80,100,JourneyMounts,data/cobblemon/species_additions/generation1/poliwrath.json
porygon2,AIR,hover,1,AIR,hover,25,45,20,40,40,60,10,25,30,55,JourneyMounts,data/cobblemon/species_additions/generation2/porygon2.json
primarina,"LAND, LIQUID","horse, dolphin",1,LIQUID,dolphin,30,55,35,60,50,80,25,45,40,75,JourneyMounts,data/cobblemon/species_additions/generation7/primarina.json
primarina,"LAND, LIQUID","horse, dolphin",1,LAND,horse,10,25,10,30,30,55,5,15,25,45,JourneyMounts,data/cobblemon/species_additions/generation7/primarina.json
primeape,LAND,horse,1,LAND,horse,55,75,65,85,60,80,35,55,45,65,JourneyMounts,data/cobblemon/species_additions/generation1/primeape.json
probopass,"AIR, LAND","bird, horse",1,AIR,bird,40,60,50,65,35,60,35,60,55,90,JourneyMounts,data/cobblemon/species_additions/generation4/probopass.json
probopass,"AIR, LAND","bird, horse",1,LAND,horse,30,50,30,55,40,70,25,40,40,75,JourneyMounts,data/cobblemon/species_additions/generation4/probopass.json
pyroar,LAND,horse,1,LAND,horse,60,80,80,90,35,45,15,30,50,80,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/pyroar.json
quagsire,"LAND, LIQUID","horse, boat",1,LIQUID,boat,25,40,30,50,30,50,10,25,45,70,JourneyMounts,data/cobblemon/species_additions/generation2/quagsire.json
quagsire,"LAND, LIQUID","horse, boat",1,LAND,horse,20,35,20,35,20,40,10,25,35,60,JourneyMounts,data/cobblemon/species_additions/generation2/quagsire.json
quaquaval,"LAND, LIQUID","horse, dolphin",1,LIQUID,dolphin,45,75,50,75,60,85,30,55,40,70,JourneyMounts,data/cobblemon/species_additions/generation9/quaquaval.json
quaquaval,"LAND, LIQUID","horse, dolphin",1,LAND,horse,40,65,45,70,55,80,25,45,35,60,JourneyMounts,data/cobblemon/species_additions/generation9/quaquaval.json
ragingbolt,LAND,horse,1,LAND,horse,35,55,40,60,35,55,15,35,90,110,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/ragingbolt.json
raikou,LAND,horse,1,LAND,horse,100,130,90,120,30,50,40,65,60,120,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/raikou.json
rampardos,LAND,horse,1,LAND,horse,15,35,20,45,35,60,20,35,40,75,JourneyMounts,data/cobblemon/species_additions/generation4/rampardos.json
rapidash,LAND,horse,1,LAND,horse,60,85,55,80,35,55,30,50,35,55,JourneyMounts,data/cobblemon/species/generation1/rapidash.json
rayquaza,"AIR, LAND, LIQUID","jet, horse, boat",1,AIR,jet,160,200,80,110,80,90,40,60,162,220,COBBLEVERSE-DP-v28,data/cobblemon/species/generation3/rayquaza.json
rayquaza,"AIR, LAND, LIQUID","jet, horse, boat",1,LAND,horse,20,40,40,60,21,40,41,60,61,80,COBBLEVERSE-DP-v28,data/cobblemon/species/generation3/rayquaza.json
rayquaza,"AIR, LAND, LIQUID","jet, horse, boat",1,LIQUID,boat,40,60,20,40,21,40,41,60,40,60,COBBLEVERSE-DP-v28,data/cobblemon/species/generation3/rayquaza.json
regice,LAND,horse,1,LAND,horse,15,30,10,30,35,60,10,25,40,80,JourneyMounts,data/cobblemon/species_additions/generation3/regice.json
regidrago,LAND,horse,1,LAND,horse,35,55,25,45,35,60,25,45,45,80,JourneyMounts,data/cobblemon/species_additions/generation8/regidrago.json
regieleki,"AIR, LAND, LIQUID","jet, horse, boat",1,AIR,jet,70,80,50,70,50,60,20,70,30,50,JourneyMounts,data/cobblemon/species_additions/generation8/regieleki.json
regieleki,"AIR, LAND, LIQUID","jet, horse, boat",1,LIQUID,boat,35,60,75,85,10,25,40,80,5,10,JourneyMounts,data/cobblemon/species_additions/generation8/regieleki.json
regieleki,"AIR, LAND, LIQUID","jet, horse, boat",1,LAND,horse,40,55,65,75,40,70,30,50,30,45,JourneyMounts,data/cobblemon/species_additions/generation8/regieleki.json
regigigas,LAND,horse,1,LAND,horse,18,32,10,25,60,85,10,22,70,100,JourneyMounts,data/cobblemon/species_additions/generation4/regigigas.json
regirock,LAND,horse,1,LAND,horse,15,30,10,30,35,60,10,25,40,80,JourneyMounts,data/cobblemon/species_additions/generation3/regirock.json
registeel,LAND,horse,1,LAND,horse,15,30,10,30,35,60,10,25,40,80,JourneyMounts,data/cobblemon/species_additions/generation3/registeel.json
relicanth,LIQUID,submarine,1,LIQUID,submarine,15,35,25,40,40,80,50,75,50,90,Cobblemon-Fabric,data/cobblemon/species/generation3/relicanth.json
reshiram,"AIR, LAND","jet, horse",1,AIR,jet,145,175,95,125,90,115,41,60,41,60,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/reshiram.json
reshiram,"AIR, LAND","jet, horse",1,LAND,horse,35,55,40,65,40,60,41,60,41,60,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/reshiram.json
revavroom,LAND,horse,2,LAND,horse,70,85,0,5,25,40,15,20,20,40,Cobblemon-Fabric,data/cobblemon/species/generation9/revavroom.json
rhydon,LAND,horse,1,LAND,horse,55,75,55,75,30,50,20,35,55,90,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/rhydon.json
rhyhorn,LAND,horse,1,LAND,horse,25,60,5,20,5,25,5,15,40,80,Cobblemon-Fabric,data/cobblemon/species/generation1/rhyhorn.json
rhyperior,LAND,horse,1,LAND,horse,45,75,35,55,25,55,10,25,75,100,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/rhyperior.json
rillaboom,LAND,horse,1,LAND,horse,30,50,30,55,40,65,20,35,55,85,JourneyMounts,data/cobblemon/species_additions/generation8/rillaboom.json
salamence,"AIR, LAND","bird, horse",2,AIR,bird,90,120,90,115,60,80,60,85,65,85,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/salamence.json
salamence,"AIR, LAND","bird, horse",2,LAND,horse,35,50,65,85,40,60,15,25,35,70,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/salamence.json
salazzle,LAND,horse,1,LAND,horse,45,70,40,65,40,65,25,45,35,60,JourneyMounts,data/cobblemon/species_additions/generation7/salazzle.json
samurott,"LAND, LIQUID","horse, dolphin",1,LIQUID,dolphin,30,55,30,55,45,75,25,45,50,85,JourneyMounts,data/cobblemon/species_additions/generation5/samurott.json
samurott,"LAND, LIQUID","horse, dolphin",1,LAND,horse,20,40,20,40,30,55,15,30,40,70,JourneyMounts,data/cobblemon/species_additions/generation5/samurott.json
sandaconda,LAND,horse,1,LAND,horse,20,40,15,35,30,55,5,20,55,85,JourneyMounts,data/cobblemon/species_additions/generation8/sandaconda.json
sawsbuck,LAND,horse,1,LAND,horse,25,50,25,50,35,60,25,45,35,65,JourneyMounts,data/cobblemon/species_additions/generation5/sawsbuck.json
sceptile,LAND,horse,1,LAND,horse,40,70,40,70,45,75,35,60,30,55,JourneyMounts,data/cobblemon/species_additions/generation3/sceptile.json
scizor,"AIR, LAND","bird, horse",1,LAND,horse,40,65,55,75,45,70,15,30,30,50,JourneyMounts,data/cobblemon/species_additions/generation2/scizor.json
scizor,"AIR, LAND","bird, horse",1,AIR,bird,35,55,40,60,50,75,25,45,25,45,JourneyMounts,data/cobblemon/species_additions/generation2/scizor.json
scolipede,LAND,horse,1,LAND,horse,45,75,20,25,25,35,25,35,50,70,Cobblemon-Fabric,data/cobblemon/species/generation5/scolipede.json
screamtail,LAND,horse,1,LAND,horse,25,45,40,60,25,45,20,40,70,90,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/screamtail.json
seaking,LIQUID,submarine,1,LIQUID,submarine,55,75,45,75,40,65,15,35,20,40,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/seaking.json
serperior,LAND,horse,1,LAND,horse,25,45,65,80,0,30,0,5,35,55,Cobblemon-Fabric,data/cobblemon/species/generation5/serperior.json
sharpedo,LIQUID,dolphin,1,LIQUID,dolphin,95,120,80,100,60,85,45,75,20,45,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/sharpedo.json
skarmory,"AIR, LAND","bird, horse",1,AIR,bird,35,65,40,70,55,80,35,60,30,55,JourneyMounts,data/cobblemon/species_additions/generation2/skarmory.json
skarmory,"AIR, LAND","bird, horse",1,LAND,horse,20,35,20,35,20,35,10,25,25,40,JourneyMounts,data/cobblemon/species_additions/generation2/skarmory.json
skeledirge,LAND,horse,1,LAND,horse,25,45,20,40,45,75,20,35,45,80,JourneyMounts,data/cobblemon/species_additions/generation9/skeledirge.json
skiddo,LAND,horse,1,LAND,horse,30,45,40,65,20,40,30,40,30,45,Cobblemon-Fabric,data/cobblemon/species/generation6/skiddo.json
slaking,LAND,horse,1,LAND,horse,25,65,0,20,0,20,25,40,60,100,Cobblemon-Fabric,data/cobblemon/species/generation3/slaking.json
slowbro,"LAND, LIQUID","horse, dolphin",1,LIQUID,dolphin,30,60,40,65,45,75,25,55,40,80,JourneyMounts,data/cobblemon/species_additions/generation1/slowbro.json
slowbro,"LAND, LIQUID","horse, dolphin",1,LAND,horse,18,30,20,35,20,35,10,20,65,95,JourneyMounts,data/cobblemon/species_additions/generation1/slowbro.json
slowking,LAND,horse,1,LAND,horse,20,40,15,35,40,60,10,20,55,85,JourneyMounts,data/cobblemon/species_additions/generation2/slowking.json
sneasler,LAND,horse,1,LAND,horse,35,45,75,90,65,85,30,40,10,20,Cobblemon-Fabric,data/cobblemon/species/generation8a/sneasler.json
snorlax,LAND,horse,1,LAND,horse,15,35,0,20,0,25,10,25,70,100,JourneyMounts,data/cobblemon/species_additions/generation1/snorlax.json
solgaleo,"AIR, LAND","bird, horse",1,AIR,bird,100,120,90,110,65,95,45,75,20,50,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/solgaleo.json
solgaleo,"AIR, LAND","bird, horse",1,LAND,horse,90,105,80,95,45,65,25,35,20,45,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/solgaleo.json
spectrier,LAND,horse,1,LAND,horse,90,110,50,70,40,80,30,65,60,120,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/spectrier.json
stakataka,LAND,horse,1,LAND,horse,15,25,15,25,20,30,5,15,90,120,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/stakataka.json
stantler,LAND,horse,1,LAND,horse,50,75,40,65,30,55,25,45,40,70,JourneyMounts,data/cobblemon/species_additions/generation2/stantler.json
staraptor,"AIR, LAND","bird, horse",1,AIR,bird,95,115,100,120,85,110,45,65,45,70,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/staraptor.json
staraptor,"AIR, LAND","bird, horse",1,LAND,horse,20,45,20,40,70,90,10,40,10,40,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/staraptor.json
steelix,LAND,horse,1,LAND,horse,10,30,15,35,35,60,0,10,60,100,JourneyMounts,data/cobblemon/species_additions/generation2/steelix.json
